LOS Supported?,Field ID,1003 Section,Data Stream,Position,Field Length,# Occurrences,Field Information,Value(s)/EDI Code(s),"Desktop
Underwriter (DU)",Government (G),"Credit
Request (CR)",EarlyCheck (EC),Root Element:  <LOAN_APPLICATION>
,06G-040,VI,Property City,48,35,,Format: Text,,,,,,<REO_PROPERTY _City>
,06G-050,VI,Property State,83,2,,Format: Text,,,,,,<REO_PROPERTY _State>
,06G-060,VI,Property Zip Code,85,5,,Format: n,,,,,C,<REO_PROPERTY _PostalCode>
,06G-070,VI,Property Zip Code Plus Four,90,4,,Format: n,,,,,C,<REO_PROPERTY _PostalCode>
,06G-080,VI,Property Disposition,94,1,,Code indicating the property's future use.,"EDI Data Element 1075:
S = Sold
H = Retained
P = Pending Sale
R = Rental",C,C,,C,<REO_PROPERTY _DispositionStatusType>
,06G-090,VI,Type of Property,95,2,,,"EDI Data Element 1074:
14 = Single Family
04 = Condominium
16 = Townhouse
13 = Co-operative
15 = Two-to-four unit property
18 = Multifamily (more than 4 units)
08 = Manufactured/Mobile Home
02 = Commercial ? Non-Residential
F1 = Mixed Use ? Residential
05 = Farm
03 = Home and Business Combined
07 = Land",,,,,<REO_PROPERTY _GSEPropertyType>
,06G-100,VI,Present Market Value,97,15,,"Value of the property if it were sold today.

Format: Z(12).Z(2)",,,,,,<REO_PROPERTY _MarketValueAmount>
,06G-110,VI,Amount of Mortgages & Liens,112,15,,"Applicant reported total amount of all remaining mortgages and liens against the property.

Format: Z(12).Z(2)",,C,C,,,<REO_PROPERTY _LienUPBAmount>
,06G-120,VI,Gross Rental Income,127,15,,"Amount of revenue generated by the property from rent on a monthly basis.

Format: Z(12).Z(2)

Specify if filed 06G-080 is Rental",,C,C,,C,<REO_PROPERTY _RentalIncomeGrossAmount>
,06G-130,VI,Mortgage Payments,142,15,,"Total monthly payment made on outstanding mortgages and liens against the property.

Format: Z(12).Z(2)

Specify if field 06G-110 greater than 0",,C,C,,C,<REO_PROPERTY _LienInstallmentAmount>
,06G-140,VI,"Insurance, Maintenance Taxes & Misc.",157,15,,"Monthly expense on the property for property taxes, maintenance and insurance.

Format: Z(12).Z(2)",,C,,,C,<REO_PROPERTY _MaintenanceExpenseAmount>
,06G-150,VI,Net Rental Income,172,15,,"The amount of the rental income that is net of mortgage payments, insurance, maintenance, taxes, and miscellaneous property expenses. If this field is not populated, then Desktop Underwriter will calculate it based on a vacancy factor. If the number is positive, it will be added to the qualifying income; if it is negative, it will be considered a liability and included in the total expense ratio calculation.
""Format: -Z(12).Z(2)
Negative or positive number allowed.
""Net rental calculation is:
(gross rental x .75) - P&I - Maintenance
""
**Net Rental Income can be entered in the Income or REO segment. Please review the information on page 60, Net Rental Income.
",,,C,,C,<REO_PROPERTY _RentalIncomeNetAmount>
,06G-160,VI,Current Residence Indicator,187,1,,Indicates whether the applicant currently resides at the Real Estate Owned.,"Y = Current Residence
N = Not Current Residence",C,C,,C,<REO_PROPERTY _CurrentResidenceIndicator>
,06G-170,VI,Subject Property Indicator,188,1,,Indicates whether the REO is the property which will secure the loan applied for.,"Y = Yes
N = No",C,C,,C,<REO_PROPERTY _SubjectIndicator>
,06G-180,VI,REO Asset ID,189,2,,"Starting with the value of 1, increment for each 06G record created. No Duplicates.

Note: May not be sequential on export.",,C,C,,C,<REO_PROPERTY REO_ID>
,06G-190,VI,Reserved for Future Use,191,15,,"Unused, pad with spaces",,,,,,No Corresponding MISMO Data
,,,<N/L>,,,,End of record: Length=205,,,,,,
,06H-010,,06H,1,3,1 or more,"Record ID: Alias

Borrower or Co-Borrower cannot have duplicate aliases.",,,,,,
,06H-020,VI,Applicant Social Security Number,4,9,,Format: n,,C,,,,<BORROWER _SSN>
,06H-030,VI,Alternate First Name,13,35,,"Another first name that the applicant may have used previously.

Format: Text",,,,,,<BORROWER _ALIAS _FirstName>
,06H-040,VI,Alternate Middle Name,48,35,,"Another middle name that the applicant may have used previously.

Format: Text",,,,,,<BORROWER _ALIAS _MiddleName>
,06H-050,VI,Alternate Last Name,83,35,,"Another last name that the applicant may have used previously; This must be present if the applicant has received credit under any other name.

Format: Text",,,,,,<BORROWER _ALIAS _LastName>
,06H-060,VI,Reserved for Future Use,118,15,,"Unused, pad with spaces",,,,,,No Corresponding MISMO Data
,06H-070,VI,Reserved for Future Use,153,15,,"Unused, pad with spaces",,,,,,No Corresponding MISMO Data
,,,<N/L>,,,,End of record: Length=182,,,,,,
,06L-010,,06L,1,3,M,"Record ID: Liabilities

Note: Liabilities can be auto-populated from the credit report.",,C,C,,C,
,06L-020,VI,Applicant Social Security Number,4,9,,"The social security number of the applicant entered in the Liabilities segment.

Format: n

Note : The SSN of the account owner of a mortgage/HELOC liability must match the SSN associated to the corresponding property in the REO section.",,C,C,,C,<BORROWER _SSN>
,06L-030,VI,Liability Type,13,2,,"
A code uniquely identifying a category or class of debts.

HELOC and Mortgages must be differentiated.
","DI Data Element 1189:
I = Installment Loan
O = 30 Day Charge Account (open)
R = Revolving Charge Account
C = HELOC
M = Mortgage
F = Lease Payments
N = Liens
A = Taxes
Z = Other Liability",C,C,,C,<LIABILITY _Type>
,06L-040,VI,Creditor Name,15,35,,Format: Text,,,,,,<LIABILITY _HolderName>
,06L-050,VI,Creditor Street Address,50,35,,Format: Text,,,,,,<LIABILITY _HolderStreetAddress>
,06L-060,VI,Creditor City,85,35,,Format: Text,,,,,,<LIABILITY _HolderCity>
,06L-070,VI,Creditor State,120,2,,Format: Text,,,,,,<LIABILITY _HolderState>
,06L-080,VI,Creditor Zip Code,122,5,,Format: n,,,,,,<LIABILITY _HolderPostalCode>
,06L-090,VI,Creditor Zip Code Plus Four,127,4,,Format: n,,,,,,<LIABILITY _HolderPostalCode>
,06L-100,VI,Acct. no.,131,30,,Format: Text,,,,,,<LIABILITY _AccountIdentifier>
,06L-110,VI,Monthly Payment Amount,161,15,,"The dollar amounts, which must be paid monthly by the applicant, to pay down the liability and keep the account current.

Format: Z(12).Z(2) ",,C,C,,C,<LIABILITY _MonthlyPaymentAmount>
,06L-120,VI,Months Left to Pay,176,3,,"The number of months the applicant must continue to make monthly payments to fully and satisfactorily pay off the liability.

Format: n",,C,,,C,<LIABILITY _RemainingTermMonths>
,06L-130,VI,Unpaid Balance,179,15,,"The unpaid balance of the liability at the time the loan application was completed.

Format: Z(12).Z(2) ",,C,C,,C,<LIABILITY _UnpaidBalanceAmount>
,06L-140,VI,Liability will be paid prior to closing,194,1,,A code indicating whether the liability will be paid off at or before closing.,"Y = Yes
N = No",,,,C,<LIABILITY _PayoffStatusIndicator>
,06L-150,VI,REO Asset ID,195,2,,"Format: n
Max length=2

This value must match to the corresponding value of field #06G-180.

Required if 06L-030 is Home Equity Line or Credit of Mortgage",,C,,,C,<LIABILITY REO_ID>
,06L-160,VI,Resubordinated Indicator,197,1,,Indicates whether the liability will be re-subordinated to the loan after closing.,"Y = Yes
N = No",,,,,<LIABILITY SubjectLoanResubordinationIndicator>
,06L-170,VI,Omitted Indicator,198,1,,Indicates whether a liability listed on the credit report should be omitted from the liabilities calculation because of duplication or misrepresentation.,"Y = Yes
N = No",,,,C,<LIABILITY _ExclusionIndicator>
,06L-180,VI,Subject Property Indicator,199,1,,Indicates whether the liability is associated with the subject property and is required to be either paid off or re-subordinated.,"Y = Yes
N = No",,,,C,<LIABILITY FNMSubjectPropertyIndicator>
,06L-190,VI,Rental Property Indicator,200,1,,Indicates whether the liability is associated with a rental property and the monthly payment is already included in the calculation of the net rental income.,"Y = Yes
N = No",,,,C,<LIABILITY FNMRentalPropertyIndicator>
,,,<N/L>,,,,End of record: Length=200,,,,,,
,06S-010,,06S,1,3,M,"Record ID: Undrawn HELOC and IPCs

Required IF an Undrawn HELOC is associated with the subject property.",,C,C,,,
,06S-020,VI,Applicant Social Security Number,4,9,,Format: n,,C,C,,,<BORROWER _SSN>
,06S-030,VI,Summary Amount Type Code,13,3,,"A code identifying an Undrawn HELOC and/or IPCs.

HMB = Undrawn HELOC Amount
SCA = IPCs: Excess Financing Concessions or Sales Concessions Amount

See Fannie Mae and EDI Code Conversions Table for Element 522.",,C,C,,,<BORROWER SUMMARY _AmountType>
,06S-040,VI,Amount,16,15,,"Format: Z(12).Z(2)

For HMB (Undrawn HELOC Amount) the amount is related to the subject property and should only be entered once. If the primary borrower and co-borrower are borrowers for the same HELOC, it should only appear once for the primary borrower. If there are multiple undrawn HELOC amounts, the sum of all HELOCs should appear once under the primary borrower.",,C,C,,,<BORROWER SUMMARY _Amount>
,,,<N/L>,,,,End of record: Length=30,,,,,,
,07A-010,,07A,1,3,S,Record ID: Details of Transaction,,R,R,,R,
,07A-020,VII,a. Purchase price,4,15,,"The amount of money that the property will be purchased for.

Required if Purpose of Loan 02B-030 = 16 ? Purchase

Format: Z(12).Z(2)",,C,C,,C,<TRANSACTION_DETAIL PurchasePriceAmount>
,07A-030,VII,"b. Alterations, improvements, repairs",19,15,,"The cost of any alterations, improvements, and repairs on the property.

Format: Z(12).Z(2)",,C,C,,C,<TRANSACTION_DETAIL AlterationsImprovementsAndRepairsAmount>
,07A-040,VII,c. Land,34,15,,"The cost of the land for the property; This will only be collected if the land was acquired separately from the property.

Format: Z(12).Z(2)",,C,C,,C,<TRANSACTION_DETAIL FNMCostOfLandAcquiredSeparatelyAmount>
,07A-050,VII,d. Refinance (Inc. debts to be paid off),49,15,,"The cost to the applicant that is associated with refinancing a mortgage loan on a property.

Required if Purpose of Loan 02B-030 = 05 (Refinance)

Format: Z(12).Z(2)",,C,C,,,<TRANSACTION_DETAIL RefinanceIncludingDebtsToBePaidOffAmount>
,07A-060,VII,e. Estimated prepaid items,64,15,,"Format:  Z(12).Z(2)

Conventional: Enter the total amount of Pre-Paid expenses charged. If any of this is to be paid by the seller, include that amount in 07A-110. If any of this is to be paid by the lender, include that amount in 07B-030.

FHA/VA: This is the amount paid by the borrower. This amount cannot be less than $0.00.

Required if applicable to Casefile
",,C,C,,,<TRANSACTION_DETAIL PrepaidItemsEstimatedAmount>
,07A-070,VII,f. Estimated closing costs,79,15,,"Format: Z(12).Z(2)

Conventional: Enter the total amount of the Closing Costs. If any of this is to be paid by the seller, include that amount in 07A-110. If any of this is to be paid by the lender, include that amount in 07B-030.

FHA/VA: Enter the total allowable Closing Costs.",,C,C,,,<TRANSACTION_DETAIL EstimatedClosingCostsAmount>
,07A-080,VII,"g. PMI MIP, Funding Fee",94,15,,"A fee paid to initiate mortgage insurance.

Format: Z(12).Z(2)
Conventional: Enter amount charged. If any of this is to be paid by the seller, include that amount in 07A-110. If any of this is to be paid by the lender, include that amount in 07B-030.

Government Loans: 
FHA: Enter amount of Total Upfront MIP charged. If any of this is to be paid by the seller, enter that amount in GOA-040. If any of this is to be paid by the lender, enter that amount on 07B-030 (other credits, lender). If the MIP is paid by the seller (it must be all or nothing) and the user enters the amount paid by seller in seller concessions only the funds to/from borrower would not be correct.

VA: Enter the total funding fee as required by VA. If any of this amount is to be paid by either the seller or lender, enter that amount in 07B-030 (other credits, seller or lender respectively).

",,C,C,,,<TRANSACTION_DETAIL MIAndFundingFeeTotalAmount>
,07A-090,VII,h. Discount,109,15,,"Format: Z(12).Z(2)

Enter the total amount of discount points charged.

Conventional: Fannie Mae does not distinguish between Discount and Origination points.",,C,C,,,<TRANSACTION_DETAIL BorrowerPaidDiscountPointsTotalAmount>
,07A-100,VII,j. Subordinate financing,124,15,,"The total amount of financing by a type of debt inferior to the loan the applicant is applying for on the same property.
Format: Z(12).Z(2)

Required if applicable to Casefile
",,C,R,,C,<TRANSACTION_DETAIL SubordinateLienAmount>
,07A-110,VII,k. Applicant's closing costs paid by Seller,139,15,,"Format: Z(12).Z(2)
Conventional: Include the amount of Closing Costs, Pre-Paids, Discount Points and up-front PMI paid by the Seller. Closing Costs, Pre-Paids, Points or Up-front MI that is paid by the seller may also be entered into 07B-030 (Other Credits, Seller Credit) in addition to 07A-110. DU will recognize both and add the two amounts to determine total seller credit.

Government Loans:
Enter the amount of Closing Costs paid by the Seller. Do not include seller paid prepaid items. For FHA loans, seller credit can be populated in this field or in 07B as a ?Seller Credit? but not in both places.",,C,C,,,<TRANSACTION_DETAIL SellerPaidClosingCostsAmount>
,07A-120,VII,"n. PMI, MIP, Funding Fee financed",154,15,,"The amount of the fee paid to initiate mortgage insurance that will be financed in the mortgage loan transaction.
Format: Z(12).Z(2)

Fannie Mae: Required if applicable to the casefile.
",,C,C,,C,<TRANSACTION_DETAIL MIAndFundingFeeFinancedAmount>
,,,<N/L>,,,,End of record: Length=168,,,,,,
,07B-010,,07B,1,3,M,"Record ID: Other Credits

Fannie Mae: Required if applicable.",,C,C,,,
,07B-020,VII,Other Credit Type Code,4,2,,"Note: Cash Deposit On Sales Contract amount must be included as code 01 (Cash Deposit on sales contract) and must be entered if a cash deposit is listed in segment 06C as a type F1 asset.

To ensure accurate calculation of the Borrower Contribution Amount and to receive accurate findings, all Other Credit Types must be supported. Summarizing multiple values under the Credit Type Other may alter the calculation and findings.

FHA guidelines allow for some non-allowable closing costs that may be paid by the borrower but that may not be financed in the mortgage or included in the mortgage amount calculations. These include commitment fees, rate locks, etc. These types of fees should be entered as a negative value in other credits; they will not be included in Line F. The system will add these amounts to Line P, Cash From/To Borrower. This will ensure that the system correctly calculates the borrower?s required funds to close.

For FHA loans, seller credit can be populated in this field as Other Credit Type 02 or in 07A-110 as ?Applicant Closing Costs Paid by Seller? but not in both places.
","Fannie Mae data element Other Credit Type Code:
01 = Cash Deposit on sales contract
02 = Seller Credit
03 = Lender Credit
04 = Relocation Funds
05 = Employer Assisted Housing
06 = Lease Purchase Fund
07 = Other
08 = Borrower Paid Fees
09 = Sweat Equity",C,C,,,"<TRANSACTION_DETAIL PURCHASE_CREDIT _SourceType>


<TRANSACTION_DETAIL PURCHASE_CREDIT _Type>"
,07B-030,VII,Amount of Other Credit,6,15,,Format: Z(12).Z(2),,C,C,,,<TRANSACTION_DETAIL PURCHASE_CREDIT _Amount>
,,,<N/L>,,,,End of record: Length=20,,,,,,
,08A-010,,08A,1,3,SA,Record ID: Declarations,,R,R,,R,
,08A-020,VIII,Applicant Social Security Number,4,9,,Format: n,,R,R,,,<BORROWER _SSN>
,08A-030,VIII,a. Are there any outstanding judgments against you?,13,1,,"Any ""yes"" responses must be explained.","Y = Yes
N = No",R,R,,,<BORROWER DECLARATION  OutstandingJudgementsIndicator>
,08A-040,VIII,b. Have you been declared bankrupt within the past 7 years?,14,1,,"Any ""yes"" responses must be explained.","Y = Yes
N = No",R,R,,,<BORROWER DECLARATION  BankruptcyIndicator>
,08A-050,VIII,c. Have you had property foreclosed upon or given title or deed in lieu thereof in the last 7 years?,15,1,,"Any ""yes"" responses must be explained.","Y = Yes
N = No",R,R,,,<BORROWER DECLARATION  PropertyForeclosedPastSevenYearsIndicator>
,08A-060,VIII,d. Are you a party to a lawsuit?,16,1,,"Any ""yes"" responses must be explained.","Y = Yes
N = No",,R,,,<BORROWER DECLARATION  PartyToLawsuitIndicator>
,08A-070,VIII,e. Have you directly or indirectly been obligated on any loan?,17,1,,"Any ""yes"" responses must be explained.","Y = Yes
N = No",,R,,,<BORROWER DECLARATION  LoanForeclosureOrJudgementIndicator>
,08A-080,VIII,f. Are you presently delinquent or in default on any Federal debt?,18,1,,"Any ""yes"" responses must be explained.","Y = Yes
N = No",,R,,,<BORROWER DECLARATION  PresentlyDelinquentIndicator>
,08A-090,VIII,g. Are you obligated to pay alimony child support or separate maintenance?,19,1,,"Any ""yes"" responses must be explained.","Y = Yes
N = No",,R,,,<BORROWER DECLARATION  AlimonyChildSupportObligationIndicator>
,08A-100,VIII,h. Is any part of the down payment borrowed?,20,1,,"Any ""yes"" responses must be explained.","Y = Yes
N = No",,R,,,<BORROWER DECLARATION  BorrowedDownPaymentIndicator>
,08A-110,VIII,i. Are you a co-maker or,21,1,,"Any ""yes"" responses must be explained.","Y = Yes
N = No",,R,,,<BORROWER DECLARATION  CoMakerEndorserOfNoteIndicator>
,08A-120,VIII,"j. Are you a U.S. citizen?

k. Are you a permanent resident alien?",22,2,,,"EDI Data Element 1066:
01 = US Citizen
03 = Permanent Resident-Alien
05 = Non-Permanent Resident-Alien",R,R,,,<BORROWER DECLARATION  CitizenshipResidencyType>
,08A-130,VIII,l. Do you intend to occupy?,24,1,,"Any ""yes"" responses must be explained.

""Note: U is not valid on DO/DU on the Web. Best Practice is to send Y or N.
FHA: This field used to determine FTHB.""


","Y = Yes
N = No
U = Unknown",C,C,,C,<BORROWER DECLARATION  IntentToOccupyType>
,08A-140,VIII,m. Have you had an ownership interest?,25,1,,"Any ""yes"" responses must be explained.","Y = Yes
N = No",C,C,,C,<BORROWER DECLARATION  HomeownerPastThreeYearsType>
,08A-140,VIII,m. Have you had an ownership interest?,25,1,,"Note: U is not valid on DO/DU on the Web. Best Practice is to send Y or N.

For FHA Scorecard, Fannie Mae will automatically generate corresponding data values.",U = Unknown,C,C,,C,<BORROWER DECLARATION  HomeownerPastThreeYearsType>
,08A-150,VIII,m. (1) What type of property?,26,1,,"If any of the ownership interests have been investment, specify ?investment? in this field. If none have been investment and any have been secondary residence, specify ?secondary? in this field.
Required if 08A-140 = Y 

For FHA Scorecard, Fannie Mae will automatically generate corresponding data values.
","EDI Data Element 1070:
1 = Primary Residence
2 = Secondary Residence
D = Investment Property",C,C,,C,<BORROWER DECLARATION PriorPropertyUsageType>
,08A-160,VIII,m. (2) How did you hold title?,27,2,,"Specify value if field 08A-140 is Y.
If owned more than one property in last three years: if ?jointly? and ?not?, select ?not.?","EDI Data Element 1187:
01 = Sole (individual)
25 = Joint With Spouse
26 = Joint With Other Than Spouse",C,C,,C,<BORROWER DECLARATION PriorPropertyTitleType>
,,,<N/L>,,,,End of record: Length=28,,,,,,
,08B-010,,08B,1,3,M,"Record ID: Declaration Explanations

Specify if field #08A-030 to 08A-110 is Yes. NOT Required.",,C,,,,
,08B-020,VIII,Applicant Social Security Number,4,9,,Format: n,,C,,,,<BORROWER _SSN>
,08B-030,VIII,Declaration Type Code,13,2,,"A code that identifies the particular question asked in the Declarations section of the loan application.

To instruct DU to disregard deed-in-lieu of foreclosure, preforeclosure sale and foreclosure information in the credit data, use EDI code: ?93?.","EDI Data Element 1321:

91 = Outstanding Judgments
92 = Declared Bankruptcy in past 7 years
93 = Foreclosure or deed in lieu in past 7 years, Direct/Indirect Foreclosed Property in the past 7 years
94 = Party to Lawsuit
95 = Obligated on a loan foreclosed, or deed in lieu of judgment
96 = Delinquency or Default
97 = Obligated to pay alimony, child support or maintenance, Alimony Child Support
98 = Part of down payment borrowed, Borrowed Down Payment
99 = Co-Maker or Endorser on a note
",C,,,,<BORROWER DECLARATION _EXPLANATION _Description>
,08B-040,VIII,Declaration Explanation,15,255,,"A brief explanation made by the applicant to the Interviewing Loan Officer
clarifying their response to a declaration on the loan application.

Format: Text

Per DU v9.1 Nov 2013 release, to instruct DU to disregard deed-in-lieu
of foreclosure and preforeclosure sale in the credit data, enter:
- Confirmed CR DIL*
- Confirmed CR PFS*

Per DU 9.1.1 August 2014 update, to instruct DU to disregard the foreclosure
information in the credit data, enter:
- Confirmed CR FC Incorrect*
(Value overrides inaccurate foreclosure information)
- Confirmed CR FC EC*
(Value overrides foreclosure information due to extenuating circumstances)

*Separate values by a comma when entering more than one item.",,C,,,,<BORROWER DECLARATION _EXPLANATION _Type>
,,,<N/L>,,,,End of record: Length=269,,,,,,
,09A-010,,09A,1,3,SA,Record ID: Acknowledgment and Agreement,,,,,,
,09A-020,IX,Applicant Social Security Number,4,9,,Format: n,,C,,,,<BORROWER _SSN>
,09A-030,IX,Signature Date,13,8,,"The date that the applicant signed the loan application or the continuation sheet(s).

Format: CCYYMMDD",,,,,,<BORROWER _ApplicationSignedDate>
,,,<N/L>,,,,End of record: Length=20,,,,,,
,10A-010,,10A,1,3,S,"Record ID: Information for Government Monitoring Purposes.

One occurrence per Applicant",,,,,R,
,10A-020,X,Applicant Social Security Number,4,9,,Format: n,,,,,R,<BORROWER _SSN>
,10A-030,X,I do not wish to furnish this information,13,1,,"A code indicating whether the applicant wishes to furnish race and gender data, entered to support government monitoring.","Y = Yes
N = No",,,,,<BORROWER GOVERNMENT_MONITORING RaceNationalOriginRefusalIndicator>
,10A-040,X,Ethnicity,14,1,,A code that identifies the ethnicity of the applicant,"1108 Ethnicity Code:
1-Hispanic or Latino
2-Not Hispanic or Latino
3-Information not provided by applicant in mail, internet or telephone application
4-Not applicable",,,,R,<BORROWER GOVERNMENT_MONITORING HMDAEthnicityType>
,10A-050,X,Filler,15,30,,"Unused, pad with spaces",,,,,,No Corresponding MISMO Attribute
,10A-060,X,Sex,45,1,,A code that identifies the gender of the applicant,"F = Female
M = Male
I = Information not provided by applicant in mail, internet or telephone application
N = Not applicable
",,,,R,<BORROWER GOVERNMENT_MONITORING GenderType>
,,,<N/L>,,,,End of record: Length=45,,,,,,
,10B-010,,10B,1,3,S,"Record ID: Loan Originator Information

One Occurrence",,,,,,
,10B-020,X,This application was taken by,4,1,,,"EDI Data Element 1079:
F = Face-to-Face
M = Mail or Fax
T = Telephone
I = Internet or E-Mail",,,,,<INTERVIEWER_INFORMATION ApplicationTakenMethodType>
,10B-030,X,Loan Originator?s Name,5,60,,"The name of the person who received the application information
from the applicant(s).

Format: Text",The name of the person who took the loan application.,C,,,,<INTERVIEWER_INFORMATION InterviewersName>
,10B-040,X,Interview Date,65,8,,"The date that the Loan Origin

Format: CCYYMMDD",,,,,,<INTERVIEWER_INFORMATION InterviewerApplicationSignedDate>
,10B-050,X,Loan Originator?s Phone Number,73,10,,"Format: n
Max length=10",,,,,,<INTERVIEWER_INFORMATION InterviewersTelephoneNumber>
,10B-060,X,Loan Origination Company?s Name,83,35,,Format: Text,,,,,,<INTERVIEWER_INFORMATION InterviewersEmployerName>
,10B-070,X,Loan Origination Company?s Street Address,118,35,,Format: Text,,,,,,<INTERVIEWER_INFORMATION InterviewersEmployerStreetAddress>
,10B-080,X,Loan Origination Company?s Street Address 2,153,35,,Format: Text,,,,,,<INTERVIEWER_INFORMATION InterviewersEmployerCity>
,10B-090,X,Loan Origination Company?s City ,188,35,,Format: Text,,,,,,<INTERVIEWER_INFORMATION InterviewersEmployerCity>
,10B-100,X,Loan Origination Company?s State Code,223,2,,Format: Text,,,,,,<INTERVIEWER_INFORMATION InterviewersEmployerState>
,10B-110,X,Loan Origination Company?s Zip Code,225,5,,Format: n,,,,,,<INTERVIEWER_INFORMATION InterviewersEmployerPostalCode>
,10B-120,X,Loan Origination Company?s Zip Code Plus Four,230,4,,Format: n,,,,,,<INTERVIEWER_INFORMATION InterviewersEmployerPostalCode>
,,,<N/L>,,,,End of record: Length=223,,,,,,
,10R-010,,10R,1,3,M,"Record ID: Information for Government Monitoring Purposes

 ? reporting on Multiple Race per Applicant",,,,,R,
,10R-020,X,Applicant Social Security Number,4,9,,Format: n,,,,,R,<BORROWER _SSN>
,10R-030,X,,13,2,,Applicant may report multiple race types.,"1107 Race Code:
1= American Indian or Alaska Native
2 = Asian
3 = Black or African American
4 = Native Hawaiian or Other Pacific Islander
5 = White
6 = Information not provided by applicant in mail, internet, or telephone application
7 = Not applicable",,,,R,<BORROWER HMDA_RACE _Type>
,,,<N/L>,,,,End of record: Length=14,,,,,,
,000-010,,000,1,3,S,Record ID: File Identification,,R,R,R,R,No Corresponding MISMO Attribute
,000-020,,File Type,4,3,,,70 = Additional Case Data,R,R,R,R,No Corresponding MISMO Attribute
,000-030,,File Version ID,7,5,,File Version,3.20,R,R,R,R,No Corresponding MISMO Attribute
,,,<N/L>,,,,End of record: Length=11,,,,,,
,09B-010,FNM,99B,1,3,S,"Record ID: Fannie Mae Transmittal Data

Segment required for Import",,R,R,,R,
,99B-020,FNM,Seller Provided Below Market Financing,4,1,,"A code indicating if the seller offered below-market subordinate financing.

Specify value if 1003 field #02B-030 is Purchase.
NOT REQUIRED","Y = Yes
N = No",,,,,<ADDITIONAL_CASE_DATA TRANSMITTAL_DATA BelowMarketSubordinateFinancingIndicator>
,99B-030,FNM,Owner of existing mortgage,5,2,,,"Fannie Mae Owner of Existing Mortgage Codes:
01 = Fannie Mae
02 = Freddie Mac
03 = Seller/Other
F1 = Unknown",C,,,,<ADDITIONAL_CASE_DATA TRANSMITTAL_DATA CurrentFirstMortgageHolderType>
,99B-040,FNM,Property Appraised Value,7,15,,"The value of the property as documented by the appraisal.

Format Z(12).Z(2)
Conventional Loans: Required with value > 0, if purpose of loan is refinance or construction-perm. Required with value > 0, if purpose of loan is purchase and appraisal value < sales price.

Government Loans: Required for all submissions
",,R,R,,R,<ADDITIONAL_CASE_DATA TRANSMITTAL_DATA PropertyAppraisedValueAmount>
,99B-050,FNM,Buydown Rate,22,7,,"The final Bought Down Interest Rate. The rate that the applicant will pay after the buydown is applied.

Format:  Z(3).Z(3)",,C,C,,,<ADDITIONAL_CASE_DATA TRANSMITTAL_DATA BuydownRatePercent>
,99B-060,FNM,Actual vs. Estimated Appraised Value Indicator,29,2,,"Code specifies whether the Property Appraised Value is an estimate 
or the actual value from an appraisal report.

Required if Collateral Underwriter messages are desired. 
Must be used in connection with the Doc File ID.","Fannie Mae Code:
01 = Actual
02 = Estimated

Fanne Mae Property Documentation Obtained Codes:
102 = No appraisal/inspection obtained
103 = Form 2075 exterior inspection
104 = Form 2055 appraisal with exterior only inspection
110 = Form 2095 cooperative appraisal with exterior only inspection
114 = Form 1025 appraisal with interior/exterior inspection
116 = Form 1004 appraisal with interior/exterior inspection
120 = Prior appraisal used for the transaction
125 = Other
130 = Form 26-1805, Certificate of Reasonable Value for VA
131 = Form 26-8712, Manufactured Home Appraisal Report for VA
132 = Form 1004C, Manufactured Home Appraisal Report with interior/exterior inspection*
133 = Form 1073 condominium appraisal with interior/exterior inspection*
134 = Form 1075 condominium appraisal with exterior inspection*
135 = Form 2090 cooperative appraisal with interior/exterior inspection*
136 = Form 1004D appraisal updated/completion report*
137 = Form 2000 Field review one-unit*
138 = Form 2000A Field review 2-4*",,,,R,<ADDITIONAL_CASE_DATA TRANSMITTAL_DATA PropertyAppraisedValueAmount>
,99B-080,FNM,Appraiser Name,34,60,,"Format: Text

Required, if applicable",,C,,,,<PROPERTY _VALUATION Appraiser _Name>
,99B-090,FNM,Appraiser Company,94,35,,"Format: Text

Required, if applicable",,C,,,,<PROPERTY _VALUATION Appraiser _CompanyName>
,99B-100,FNM,Appraiser License Number,129,15,,"Format: Text

Required, if applicable",,C,,,,<PROPERTY _VALUATION Appraiser _LicenseIdentifier>
,99B-110,FNM,Appraiser License State Code,144,2,,"Format: Text

Required, if applicable",,C,,,,<PROPERTY _VALUATION Appraiser _LicenseState>
,,,<N/L>,,,,End of record: Length=145,,,,,,
,ADS-010,,ADS,1,3,M,"Record ID: Additional Data Segment

All systems should support multiple occurrences of this segment to
prevent the loss of data when a user imports/exports a 1003 file
between systems. New fields added to support FHFA requirements.",,,,,R,
,ADS-020,,Loan Originator ID,4,35,,"Format: Text

Required, if applicable",Must equal: LoanOriginatorID,C,,,R,<ADDITIONAL_CASE_DATA TRANSMITTAL_DATA LoanOriginatorID>
,ADS-030,,Value,39,50,,"Format: n

Value of LoanOriginatorID. 
Value must be numeric characters only and cannot exceed 12 characters in length. 
Required, if applicable
",,C,,,R,
,ADS-020,,Loan Origination Company ID,4,35,,"Format: Text

Required, if applicable",Must equal: LoanOriginationCompanyID,C,,,R,<ADDITIONAL_CASE_DATA TRANSMITTAL_DATA LoanOriginationCompanyID>
,ADS-030,,Value,39,50,,"Format: n

Value of LoanOriginationCompanyID. 
Value must be numeric only and cannot exceed 12 characters in length. 
Required, if applicable.
",,C,,,R,
